CalcLineID,FullKey,Weight,Notes,ShortKey,In FIN Data Flow,CalcandKey,Count
14,0000014597,1,ADD: Other Income - Leases partner recovery,14597,Yes,1414597,1
14,0000014598,1,ADD: Repayment of receivables from partners – leases,14598,Yes,1414598,1
14,0000014619,1,ADD: Special Items - Non Cash Costs Forex,14619,Yes,1414619,1
14,0000014621,1,ADD: Special Items – Other Income Relco,14621,Yes,1414621,1
14,0000014622,1,ADD: Special Items – Cash Costs Other,14622,Yes,1414622,1
14,0000001170,1,ADD: Non Cash Items,1170,No,141170,1
14,0000010130,1,ADD: Profit/Loss on asset swaps,10130,No,1410130,1
14,0000010140,1,ADD: Profit/Loss on mark-to-market on embedded derivatives,10140,No,1410140,1
14,0000013529,1,ADD: Total Mark to Market on Emb. Derivatives - Net CF,13529,No,1413529,1
14,0000014364,1,ADD: Dilbit TO Generated from Royalty Volumes,14364,No,1414364,1
14,0000014365,1,ADD: Dilbit TO Generated from Purchase or Resale,14365,No,1414365,1
14,0000014620,1,ADD: Special Items – Non Cash Costs Exploration Leasehold,14620,No,1414620,1
14,0000014662,1,ADD: FV Accounting Effects EAE,14662,No,1414662,1
12,0000001170,1,ADD: Non Cash Items,1170,No,121170,1
12,0000010130,1,ADD: Profit/Loss on asset swaps,10130,No,1210130,1
12,0000010140,1,ADD: Profit/Loss on mark-to-market on embedded derivatives,10140,No,1210140,1
12,0000013529,1,ADD: Total Mark to Market on Emb. Derivatives - Net CF,13529,No,1213529,1
12,0000014364,1,ADD: Dilbit TO Generated from Royalty Volumes,14364,No,1214364,1
12,0000014365,1,ADD: Dilbit TO Generated from Purchase or Resale,14365,No,1214365,1
12,0000014620,1,ADD: Special Items – Non Cash Costs Exploration Leasehold,14620,No,1214620,1
12,0000014662,1,ADD: FV Accounting Effects EAE,14662,No,1214662,1
12,0000000100,1,ADD: Calculated Oil Turnover (Oil TO),100,Yes,12100,1
12,0000000110,1,ADD: Oil TO Generated from Royalty Volumes,110,Yes,12110,1
12,0000000120,1,ADD: Oil TO Generated from Purchase for Resale,120,Yes,12120,1
12,0000000220,1,ADD: Calculated NGL Turnover (NGL TO),220,Yes,12220,1
12,0000000230,1,ADD: NGL TO Generated from Royalty Volumes,230,Yes,12230,1
12,0000000240,1,ADD: NGL TO Generated from Purchase for Resale,240,Yes,12240,1
12,0000000340,1,ADD: Calculated Gas Turnover (Gas TO),340,Yes,12340,1
12,0000000350,1,ADD: Gas TO Generated from Royalty Volumes,350,Yes,12350,1
12,0000000360,1,ADD: Gas TO Generated from Purchase for Resale,360,Yes,12360,1
12,0000000380,1,ADD: Tariff and Other Turnover,380,Yes,12380,1
12,0000000420,1,ADD: Purchases,420,Yes,12420,1
12,0000000430,1,ADD: Production Taxes Charged,430,Yes,12430,1
12,0000000440,1,ADD: Royalty Charged,440,Yes,12440,1
12,0000000450,1,ADD: Other Government Take Charged,450,Yes,12450,1
12,0000000630,1,ADD: Decommissioning Payments,630,Yes,12630,1
12,0000000631,1,ADD: Exploration Write-off Dry Hole - Input,631,Yes,12631,1
12,0000000640,1,ADD: Forex,640,Yes,12640,1
12,0000000650,1,ADD: COSA,650,Yes,12650,1
12,0000000660,1,ADD: Inventory,660,Yes,12660,1
12,0000000670,1,ADD: Other Provisions,670,Yes,12670,1
12,0000000700,1,ADD: Impairment - Tangible Assets and other NOI,700,Yes,12700,1
12,0000000730,1,ADD: Related Company Income- Gross,730,Yes,12730,1
12,0000000781,1,ADD: Profit/Loss on sale of operations,781,Yes,12781,1
12,0000000850,1,ADD: Production Costs – Operating,850,Yes,12850,1
12,0000000870,1,ADD: Other Opex,870,Yes,12870,1
12,0000000880,1,ADD: Production Costs – Revex,880,Yes,12880,1
12,0000000890,1,ADD: E&A Cash Costs,890,Yes,12890,1
