Account ID,Description,FullKey,In FIN Data Flow,Needed,Type
13330,Effective Tax Rate,0000013330,Yes,,
13333,Investments b/f,0000013333,Yes,,
13334,Decom Provision b/f,0000013334,Yes,,
13335,Other Provision b/f,0000013335,Yes,,
13336,Average Period End Capital Employed,0000013336,Yes,,
13337,Average Operating Capital Employed,0000013337,Yes,,
13366,Equity Accounted Oil Prod (mmbls),0000013366,Yes,,
13367,Equity Accounted NGL Prod (mmbls),0000013367,Yes,,
13377,Equity Accounted Gas Prod (mmscfs),0000013377,Yes,,
13381,Base DDA ($m),0000013381,Yes,,
13384,Base Production (for DDA),0000013384,Yes,,
13386,Gas Liftings (mmbbls) - calc,0000013386,Yes,,
13388,Oil debtors - calculated c/f,0000013388,Yes,,
13391,Royalty debtors - calculated c/f,0000013391,Yes,,
13392,Royalty debtors b/f,0000013392,Yes,,
13393,Royalty debtors cashflow,0000013393,Yes,,
13396,Tariff and other TO debtors cashflow,0000013396,Yes,,
13397,Total Debtors BS - b/f,0000013397,Yes,,
13403,NGL debtors - calculated c/f,0000013403,Yes,,
13404,Gas debtors - calculated c/f,0000013404,Yes,,
13405,Royalty debtors c/f,0000013405,Yes,,
13408,Tariff and other TO debtors - calculated c/f,0000013408,Yes,,
13409,Tariff and other TO debtors - c/f,0000013409,Yes,,
13410,Tariff and other TO debtors b/f,0000013410,Yes,,
13412,Oil Liftings (mmbbls) - calc,0000013412,Yes,,
13522,Total Inventory - Product & Stores CF,0000013522,Yes,,
13524,Total Debtors CF,0000013524,Yes,,
13525,Total Creditors CF,0000013525,Yes,,
13531,Total Dividend Received (incl. from Related Company),0000013531,Yes,,
13534,Total Inventory - Product & Stores BS,0000013534,Yes,,
13536,Total Debtors BS (Incl. I/C),0000013536,Yes,,
13538,Total Creditors BS (Incl. I/C),0000013538,Yes,,
13540,Total Mark to Market on Emb. Derivatives - Net BS,0000013540,Yes,,
13544,Total DDA on Operations (incl. PPA),0000013544,Yes,,
13546,Total Impairment - PPP & Goodwill (GBC only),0000013546,Yes,,
13558,Profit/Loss on IFRS FVTE,0000013558,Yes,,
13574,CT Charge on Related Company Income,0000013574,Yes,,
13618,NGL Liftings (mmbbls) - calc,0000013618,Yes,,
13814,Special Items - Gross Margin,0000013814,Yes,,
13824,Assets Held for Sale,0000013824,Yes,,
13825,Liabilities associated with Assets Held for Sale,0000013825,Yes,,
13838,Special Items - Non Cash Cost Environment,0000013838,Yes,,
13839,Special Items - Other Income,0000013839,Yes,,
14156,Oil Non Revenue Generating Prod (mmbbls),0000014156,Yes,,
14158,NGL Non Revenue Generating Prod (mmbbls),0000014158,Yes,,
14160,Gas Non Revenue Generating Prod (mmscf),0000014160,Yes,,
14161,Oil Liftings ($m),0000014161,Yes,,
14162,Opening Over/Underlift (mmbbls),0000014162,Yes,,
14163,Opening Oil Stock ($m),0000014163,Yes,,
14174,Gas Production (mmscf),0000014174,Yes,,
14175,Oil Production (mmbbls),0000014175,Yes,,
14176,NGL Production (mmbbls),0000014176,Yes,,
14182,Oil Liftings (mmbbls) Input,0000014182,Yes,,
14184,Closing Over/Underlift (mmbbls),0000014184,Yes,,
14185,Oil Liftings Price,0000014185,Yes,,
14188,NGL Lifting Schedule,0000014188,Yes,,
14189,Closing Gas Stock Price Override,0000014189,Yes,,
14192,Closing Oil Stock Price Override,0000014192,Yes,,
14194,Oil Lifting Schedule,0000014194,Yes,,
14195,NGL Liftings (mmbbls) Input,0000014195,Yes,,
14197,Closing NGL Stock Price Override,0000014197,Yes,,
14199,Oil Closing Over / underlift ($m),0000014199,Yes,,
14200,NGL Liftings Price,0000014200,Yes,,
14203,Intangible Assets NBV - Manual Adj,0000014203,Yes,,
14204,Inventory Stores CF Manual Adj,0000014204,Yes,,
14206,Other Government Take Calculation,0000014206,Yes,,
14207,Calculated Oil Turnover - Manual Adj,0000014207,Yes,,
14208,Capex Creditors CF Manual Adj,0000014208,Yes,,
14210,Production Tax Calculation,0000014210,Yes,,
14211,NGL Liftings ($m),0000014211,Yes,,
14212,Opening NGL Stock (mmbbls),0000014212,Yes,,
14213,Capex Creditor Days,0000014213,Yes,,
14215,DDA Rate,0000014215,Yes,,
14217,Other Creditors CF Manual Adj,0000014217,Yes,,
14220,Opening NGL Stock ($m),0000014220,Yes,,
14224,Other Debtors CF Manual Adj,0000014224,Yes,,
14225,Other Government Take %,0000014225,Yes,,
14226,Tangible Assets - Manual Adj,0000014226,Yes,,
14227,Capex Creditors BS - Manual Adj,0000014227,Yes,,
14231,Assets Under Construction - Manual Adj,0000014231,Yes,,
14232,Decommissioning Provision - Manual Adj,0000014232,Yes,,
14236,Inventory BS - Manual Adj,0000014236,Yes,,
14237,Other Debtors BS - Manual Adj,0000014237,Yes,,
14238,Other Creditors BS - Manual Adj,0000014238,Yes,,
14240,Gas Liftings ($m),0000014240,Yes,,
14241,Other Provisions - Manual Adj,0000014241,Yes,,
14242,Production Tax Rate,0000014242,Yes,,
14243,Investments NBV - Manual Adj,0000014243,Yes,,
14244,Royalty Rate,0000014244,Yes,,
14245,Gas Liftings Price,0000014245,Yes,,
14246,Royalty Calculation,0000014246,Yes,,
14247,NonCash CF Adj,0000014247,Yes,,
14251,DD&A Manual Adj,0000014251,Yes,,
14253,P/L on IFRS FVTE (reversed),0000014253,Yes,,
14274,Calculate Gas Turnover - Manual Adj,0000014274,Yes,,
14281,Royalty Calculation 3,0000014281,Yes,,
14287,Other Non Cash Items Add Back Adj1,0000014287,Yes,,
14288,Other Non Cash Items Add Back Adj2,0000014288,Yes,,
14292,Oil Debtor Days,0000014292,Yes,,
14293,NGL Debtor Days,0000014293,Yes,,
14294,Gas Debtor Days,0000014294,Yes,,
14295,Sale of Royalty debtor days,0000014295,Yes,,
14296,Sale of Purchases debtor days,0000014296,Yes,,
14297,Tariff & Other Turnover debtor days,0000014297,Yes,,
14298,Purchases creditor days,0000014298,Yes,,
14299,Royalties creditor days,0000014299,Yes,,
14300,Production taxes creditor days,0000014300,Yes,,
14301,Other Govt take creditor days,0000014301,Yes,,
14302,Cash Cost creditor days,0000014302,Yes,,
14303,Oil debtor manual adj,0000014303,Yes,,
14311,Royalties creditor manual adj,0000014311,Yes,,
14314,Cash Cost creditor manual adj,0000014314,Yes,,
14366,Dilbit - Marker Price Input Line,0000014366,Yes,,
14367,Dilbit - Total Differential Input Line,0000014367,Yes,,
14368,Dilbit - Average Realisation Input Line,0000014368,Yes,,
14387,Dilbit Debtor Days,0000014387,Yes,,
14425,Underlift/overlift movement,0000014425,Yes,,
14508,(Actual) Total DDA on Operations (incl. PPA),0000014508,Yes,,
14545,Total Impairments (reversed),0000014545,Yes,,
14551,Memo: Organic Accrued Capex,0000014551,Yes,,
14553,Memo: Organic Cash Capex,0000014553,Yes,,
14554,Memo: Inorganic Cash Capex,0000014554,Yes,,
14556,Memo: Organic Capex Creditor Movement,0000014556,Yes,,
14557,Memo: Inorganic Accrued Capex (ADD 850),0000014557,Yes,,
14558,Test Account for model,0000014558,Yes,,
14559,Cap Interest Paid Manual Adj,0000014559,Yes,,
14560,Opening oil stock in tanks (mmbbls),0000014560,Yes,,
14562,Closing oil stock in tanks (mmbbls) - calc,0000014562,Yes,,
14564,Lease Interest charge,0000014564,Yes,,
14565,Lease Interest capitalized,0000014565,Yes,,
14566,RoU Asset DD&A charge,0000014566,Yes,,
14567,RoU Asset DD&A capitalized,0000014567,Yes,,
14568,RoU Asset,0000014568,Yes,,
14569,Lease Liability,0000014569,Yes,,
14570,Accrued Lease Capex,0000014570,Yes,,
14571,Non-cash adj lease capex,0000014571,Yes,,
14572,Finance debt repayment,0000014572,Yes,,
14575,Partner Receivable – leases,0000014575,Yes,,
14576,Payable to Operator – leases,0000014576,Yes,,
14577,Oil non revenue prod manual adjustment (mmbbls),0000014577,Yes,,
14578,Underlift/Overlift Movement manual adjustment,0000014578,Yes,,
14596,Repayment of payables to operators for leases,0000014596,Yes,,
14597,Other Income - Leases partner recovery,0000014597,Yes,,
14598,Repayment of receivables from partners – leases,0000014598,Yes,,
14611,(Actual) Total Inventory - Product & Stores CF,0000014611,Yes,,
14614,(Actual) Movement in Capex Creditors,0000014614,Yes,,
14618,Underlying EBITDA (exc Relco & EWO),0000014618,Yes,,
14619,Special Items - Non Cash Costs Forex,0000014619,Yes,,
14621,Special Items – Other Income Relco,0000014621,Yes,,
14622,Special Items – Cash Costs Other,0000014622,Yes,,
80,Oil Production (mb/d),0000000080,Yes,Yes,System
90,Oil - Non-Revenue Generating Prod (mbd),0000000090,Yes,Yes,System
190,NGL Production (mb/d),0000000190,Yes,Yes,System
200,NGL - Non-Revenue Generating Prod (mbd),0000000200,Yes,Yes,System
310,Gas Production (mmscf/d),0000000310,Yes,Yes,System
320,Gas - Non-Revenue Generating Prod (mmscfd),0000000320,Yes,Yes,System
630,Decommissioning Payments,0000000630,Yes,Yes,System
1620,Cash Flow from Sale of Operations,0000001620,Yes,Yes,System
2020,Total Production (mboed),0000002020,Yes,Yes,System
3770,Revenue Generating Total Prod (mboed),0000003770,Yes,Yes,System
14344,Equity Accounted Oil Production,0000014344,Yes,Yes,System
14345,Equity Accounted Gas Production,0000014345,Yes,Yes,System
14346,Equity Accounted NGL Production,0000014346,Yes,Yes,System
14411,Equity Accounted Total Production (mboed),0000014411,Yes,Yes,System
14573,Lease Interest paid,0000014573,Yes,Yes,System
